id,last_scraped,source,host_id,host_since,host_location,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
1009550,9/15/2022,city scrape,5554006,3/20/2013,"Nashville, TN",f,1,1,t,t,"Nashville, Tennessee, United States",District 7,,36.21235,-86.70461,Entire guest suite,Entire home/apt,4,,1 bath,2,5,$108.00 ,3,28,3,3,1125,1125,3,1125,,t,2,8,38,38,9/15/2022,225,13,2,4/8/2013,9/4/2022,4.94,4.95,4.93,4.98,5,4.92,4.94,,f,1,1,0,0,1.96
1209395,9/15/2022,city scrape,6604593,5/27/2013,"Nashville, TN",f,1,1,t,t,"Nashville, Tennessee, United States",District 19,,36.14883,-86.79629,Entire condo,Entire home/apt,2,,1 bath,1,1,$114.00 ,3,1125,3,3,1125,1125,3,1125,,t,5,12,35,298,9/15/2022,204,28,4,11/12/2013,9/12/2022,4.87,4.84,4.79,4.97,4.96,4.94,4.81,,f,1,1,0,0,1.89
1300670,9/15/2022,city scrape,119023,5/5/2010,"Nashville, TN",t,1,1,t,t,,District 10,,36.32114,-86.72644,Entire chalet,Entire home/apt,4,,1 bath,1,2,$135.00 ,2,14,2,2,14,14,2,14,,t,6,10,31,285,9/15/2022,88,30,2,7/9/2013,8/28/2022,4.99,4.99,4.99,5,4.95,5,4.95,,f,1,1,0,0,0.79
1428018,9/15/2022,city scrape,7679962,7/23/2013,"Nashville, TN",t,1,1,t,t,"Nashville, Tennessee, United States",District 6,,36.17574,-86.72014,Private room in home,Private room,2,,1 private bath,1,1,$130.00 ,2,14,2,2,1125,1125,2,1125,,t,8,33,62,337,9/15/2022,295,19,2,8/18/2013,9/12/2022,4.95,4.94,4.94,4.97,4.94,4.9,4.87,,t,1,0,1,0,2.67
1468175,9/16/2022,previous scrape,7720839,7/25/2013,"Nashville, TN",f,4,6,t,t,"Nashville, Tennessee, United States",District 19,,36.14901,-86.78818,Private room in home,Private room,2,,1 shared bath,1,1,$82.00 ,14,365,14,14,365,365,14,365,,t,0,0,0,0,9/16/2022,140,0,0,8/23/2013,5/20/2018,4.55,4.6,4.6,4.88,4.86,4.54,4.46,,f,4,0,2,2,1.27
1469884,9/16/2022,previous scrape,7720839,7/25/2013,"Nashville, TN",f,4,6,t,t,"Nashville, Tennessee, United States",District 17,,36.14584,-86.78634,Private room in home,Private room,3,,1 shared bath,1,1,$71.00 ,1,300,1,1,300,300,1,300,,t,0,0,0,0,9/16/2022,76,0,0,9/22/2013,11/12/2017,4.4,4.46,4.46,4.73,4.76,4.36,4.24,,f,4,0,2,2,0.69
1537921,9/15/2022,city scrape,113637,4/25/2010,"Nashville, TN",f,1,1,t,f,"Nashville, Tennessee, United States",District 6,,36.16794,-86.73759,Entire guesthouse,Entire home/apt,2,,1 bath,1,1,$119.00 ,2,1125,2,2,1125,1125,2,1125,,t,13,33,58,325,9/15/2022,256,34,0,9/2/2013,8/14/2022,4.91,4.98,4.99,4.97,4.96,4.81,4.89,,f,1,1,0,0,2.33
1546787,9/15/2022,city scrape,6855810,6/11/2013,"Nashville, TN",f,150,179,t,t,"Nashville, Tennessee, United States",District 18,,36.12903,-86.79336,Entire loft,Entire home/apt,3,,1 bath,,2,$106.00 ,2,365,1,2,365,365,1.3,365,,t,10,30,60,150,9/15/2022,454,67,4,2/17/2014,9/12/2022,4.88,4.94,4.89,4.96,4.91,4.94,4.84,,f,86,40,46,0,4.35
1557535,9/15/2022,city scrape,8291189,8/20/2013,"Nashville, TN",f,1,1,t,t,"Nashville, Tennessee, United States",District 7,,36.22637,-86.70969,Entire home,Entire home/apt,12,,2.5 baths,4,8,$699.00 ,3,360,3,3,360,360,3,360,,t,0,7,33,284,9/15/2022,76,4,1,11/25/2013,8/29/2022,4.97,4.96,4.97,5,4.99,5,4.95,,t,1,1,0,0,0.71
1583339,9/15/2022,city scrape,1567001,1/4/2012,"Nashville, TN",t,10,21,t,t,,District 6,,36.17833,-86.74426,Entire home,Entire home/apt,6,,2.5 baths,3,3,$425.00 ,2,1125,2,3,1125,1125,2.4,1125,,t,0,0,0,0,9/15/2022,67,13,1,9/17/2013,9/6/2022,4.88,4.74,4.58,4.98,4.95,4.89,4.72,,f,4,2,2,0,0.61
