id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
559225409406159053,"⭐️FANTASTIC location! Walk to Music Row, The Gulch⭐️",289984792,Stephen,,District 19,36.14795,-86.78932,Entire home/apt,337,1,3,2022-03-21,0.46,6,82,3,
559377013523604810,Top Floor Suite+Balcony/Cityview+Steps to Broadway,241230469,Sydney,,District 19,36.15567,-86.77612,Entire home/apt,491,1,18,2022-08-28,3.10,1,336,18,
559382473618221545,Stylish 2BD Apartment near Music Row!,146018978,Jurny,,District 19,36.1656,-86.80098,Entire home/apt,173,3,20,2022-09-03,2.79,16,337,20,
559382624374851576,Spacious 2BD Apartment near Downtown and Music Row!,146018978,Jurny,,District 19,36.16606,-86.80164,Entire home/apt,166,3,18,2022-09-10,2.51,16,339,18,
559382760786529108,Bright and Stylish 1BD Apartment near Music Row!,146018978,Jurny,,District 19,36.16624,-86.7997,Entire home/apt,116,3,24,2022-08-29,3.48,16,333,24,
559383102508498744,Stylish 1BD near Music Row with Parking!,146018978,Jurny,,District 19,36.1654,-86.80139,Entire home/apt,124,3,21,2022-08-20,2.94,16,331,21,
559383276976021385,Modern 1BD near Music Row and Downtown!,146018978,Jurny,,District 19,36.16459,-86.79945,Entire home/apt,122,3,25,2022-08-28,3.49,16,342,25,
559384828140662678,★Theater & Game Room★3 Miles to Broadway★Nashville,438768178,Elijah,,District 6,36.19036,-86.74516,Entire home/apt,362,1,33,2022-09-11,5.44,1,178,33,
559411543074414249,ABOVE NATIONS | INCLUDED LUXURY SERVICES* I ROOFTO,210733801,Above Vacation,,District 20,36.157658,-86.841423,Entire home/apt,1000,1,0,,,7,361,0,
559561969802668834,★Let’s Go Girls★ WALK 2 BROADWAY. 6 Beds & PARKING,438292059,Bianca,,District 19,36.15432,-86.7754,Entire home/apt,225,1,22,2022-08-29,4.15,2,170,22,
559570131553951510,EVE - Modern Penthouse with River and City Views,440034103,Sarina,,District 19,36.17071,-86.78046,Entire home/apt,612,2,11,2022-09-12,2.29,1,144,11,
559607723400381363,Cheerful 7-Bedroom Home near Capital View,51184511,Frank,,District 19,36.17071,-86.80066,Entire home/apt,250,30,0,,,2,365,0,
559634425122594263,ADORABLE GUEST HOME ❤ 30 DAY RENTAL ❤  LARGE YARD,101426897,Host Extraordinaires,,District 19,36.17745,-86.78956,Entire home/apt,90,30,3,2022-05-30,0.54,178,282,3,
559647978970666055,Townhome! Walk 2 Broadway! Park Free! Mural!,30995912,Jessica Joy,,District 19,36.154685974121094,-86.77027893066406,Entire home/apt,302,3,42,2022-09-11,5.89,12,332,42,
560117787898033346,Step out to Broadway /Cozy Loft with Street Access,117559165,Jaree,,District 19,36.15532,-86.7766,Entire home/apt,443,1,36,2022-09-13,6.21,4,71,36,
560136389628007164,"Beautiful Two-Story Apt with Rooftop Sundeck, arou",7160641,Eric,,District 18,36.1286,-86.79583,Entire home/apt,315,2,16,2022-08-21,2.39,2,108,16,
560157922269997763,Rustic Retreat | Walkable  | 4bed | Private Roofto,31549142,Brandon,,District 18,36.13443,-86.80489,Entire home/apt,208,1,19,2022-09-04,3.10,24,315,19,
560287176710918014,Dolly Inspired Music Row Loft,60934272,Travers,,District 19,36.14535,-86.79322,Entire home/apt,206,2,35,2022-08-25,5.17,27,213,35,
560318084524110103,2 HOUSES - SLEEPS 18 - ROOFTOP PUTTING GREENS!,415535365,Jake,,District 5,36.19421,-86.77391,Entire home/apt,480,1,13,2022-09-11,2.35,7,210,13,
560639934263838577,"Lovely 1 bed 1 bath, minutes away from downtown.",398808233,Fernanda,,District 18,36.1381,-86.80988,Entire home/apt,100,30,1,2022-08-06,0.73,2,331,1,
